dataset,seed,method,keep_ratio,num_selected,num_noisy_selected,noise_ratio_in_mask,mask_path
cifar10,22,herding,30,15000,3005,0.20033333333333334,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/22/herding/mask_30.npz
cifar10,22,herding,50,25000,4992,0.19968,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/22/herding/mask_50.npz
cifar10,22,herding,70,35000,7031,0.20088571428571428,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/22/herding/mask_70.npz
cifar10,42,herding,30,15000,3021,0.2014,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/42/herding/mask_30.npz
cifar10,42,herding,50,25000,5044,0.20176,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/42/herding/mask_50.npz
cifar10,42,herding,70,35000,7010,0.2002857142857143,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/42/herding/mask_70.npz
cifar10,96,herding,30,15000,2972,0.19813333333333333,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/96/herding/mask_30.npz
cifar10,96,herding,50,25000,5000,0.2,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/96/herding/mask_50.npz
cifar10,96,herding,70,35000,6978,0.19937142857142856,/nvme/home/lixiang/baseline/herding/noise_masks/cifar10/96/herding/mask_70.npz
cifar100,42,herding,30,15000,2976,0.1984,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/42/herding/mask_30.npz
cifar100,42,herding,50,25000,4998,0.19992,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/42/herding/mask_50.npz
cifar100,42,herding,70,35000,7032,0.2009142857142857,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/42/herding/mask_70.npz
cifar100,22,herding,30,15000,2964,0.1976,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/22/herding/mask_30.npz
cifar100,22,herding,50,25000,4995,0.1998,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/22/herding/mask_50.npz
cifar100,22,herding,70,35000,7004,0.20011428571428572,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/22/herding/mask_70.npz
cifar100,96,herding,30,15000,2988,0.1992,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/96/herding/mask_30.npz
cifar100,96,herding,50,25000,5009,0.20036,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/96/herding/mask_50.npz
cifar100,96,herding,70,35000,7036,0.20102857142857142,/nvme/home/lixiang/baseline/herding/noise_masks/cifar100/96/herding/mask_70.npz
tiny-imagenet,22,herding,30,30000,5977,0.19923333333333335,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/22/herding/mask_30.npz
tiny-imagenet,22,herding,50,50000,9987,0.19974,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/22/herding/mask_50.npz
tiny-imagenet,96,herding,30,30000,5905,0.19683333333333333,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/96/herding/mask_30.npz
tiny-imagenet,96,herding,50,50000,9945,0.1989,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/96/herding/mask_50.npz
tiny-imagenet,42,herding,30,30000,5943,0.1981,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/42/herding/mask_30.npz
tiny-imagenet,42,herding,50,50000,10030,0.2006,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/42/herding/mask_50.npz
